=== phase: unique ===
rows 40,000,000
unique positions 31,362,459  (78.4% of rows)
=== phase: label ===
chunks 15,682  remaining 15,682  workers 16  depth=8 (ceiling 150000 nodes)  multipv=4  sort_lines=True
  RATE after 100,000: 681 pos/sec aggregate on 16 cores
  25,600,000/31,362,459  896/s  eta 1.8h
  25,700,000/31,362,459  896/s  eta 1.8h
  25,800,000/31,362,459  896/s  eta 1.7h
  25,900,000/31,362,459  896/s  eta 1.7h
  26,000,000/31,362,459  896/s  eta 1.7h
  26,100,000/31,362,459  897/s  eta 1.6h
  26,200,000/31,362,459  897/s  eta 1.6h
  26,300,000/31,362,459  897/s  eta 1.6h
  26,400,000/31,362,459  897/s  eta 1.5h
  26,500,000/31,362,459  897/s  eta 1.5h
  26,600,000/31,362,459  898/s  eta 1.5h
  26,700,000/31,362,459  898/s  eta 1.4h
  26,800,000/31,362,459  898/s  eta 1.4h
  26,900,000/31,362,459  898/s  eta 1.4h
  27,000,000/31,362,459  898/s  eta 1.3h
  27,100,000/31,362,459  898/s  eta 1.3h
  27,200,000/31,362,459  898/s  eta 1.3h
  27,300,000/31,362,459  898/s  eta 1.3h
  27,400,000/31,362,459  898/s  eta 1.2h
  27,500,000/31,362,459  899/s  eta 1.2h
  27,600,000/31,362,459  899/s  eta 1.2h
  27,700,000/31,362,459  899/s  eta 1.1h
  27,800,000/31,362,459  899/s  eta 1.1h
  27,900,000/31,362,459  899/s  eta 1.1h
  28,000,000/31,362,459  899/s  eta 1.0h
  28,100,000/31,362,459  899/s  eta 1.0h
  28,200,000/31,362,459  899/s  eta 1.0h
  28,300,000/31,362,459  899/s  eta 0.9h
  28,400,000/31,362,459  899/s  eta 0.9h
  28,500,000/31,362,459  899/s  eta 0.9h
  28,600,000/31,362,459  899/s  eta 0.9h
  28,700,000/31,362,459  900/s  eta 0.8h
  28,800,000/31,362,459  899/s  eta 0.8h
  28,900,000/31,362,459  900/s  eta 0.8h
  29,000,000/31,362,459  900/s  eta 0.7h
  29,100,000/31,362,459  900/s  eta 0.7h
  29,200,000/31,362,459  900/s  eta 0.7h
  29,300,000/31,362,459  900/s  eta 0.6h
  29,400,000/31,362,459  900/s  eta 0.6h
  29,500,000/31,362,459  900/s  eta 0.6h
  29,600,000/31,362,459  900/s  eta 0.5h
  29,700,000/31,362,459  900/s  eta 0.5h
  29,800,000/31,362,459  900/s  eta 0.5h
  29,900,000/31,362,459  900/s  eta 0.5h
  30,000,000/31,362,459  900/s  eta 0.4h
  30,100,000/31,362,459  900/s  eta 0.4h
  30,200,000/31,362,459  901/s  eta 0.4h
  30,300,000/31,362,459  900/s  eta 0.3h
  30,400,000/31,362,459  901/s  eta 0.3h
